,CO_CNES,CO_UNIDADE,CO_UF,CO_IBGE,NU_CNPJ_MANTENEDORA,NO_RAZAO_SOCIAL,NO_FANTASIA,CO_NATUREZA_ORGANIZACAO,DS_NATUREZA_ORGANIZACAO,TP_GESTAO,CO_NIVEL_HIERARQUIA,DS_NIVEL_HIERARQUIA,CO_ESFERA_ADMINISTRATIVA,DS_ESFERA_ADMINISTRATIVA,CO_ATIVIDADE,TP_UNIDADE,CO_CEP,NO_LOGRADOURO,NU_ENDERECO,NO_BAIRRO,NU_TELEFONE,NU_LATITUDE,NU_LONGITUDE,CO_TURNO_ATENDIMENTO,DS_TURNO_ATENDIMENTO,NU_CNPJ,NO_EMAIL,CO_NATUREZA_JUR,ST_CENTRO_CIRURGICO,ST_CENTRO_OBSTETRICO,ST_CENTRO_NEONATAL,ST_ATEND_HOSPITALAR,ST_SERVICO_APOIO,ST_ATEND_AMBULATORIAL,CO_MOTIVO_DESAB,CO_AMBULATORIAL_SUS
10,124,2602900000124,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF SAO FRANCISCO I,,,M,,,,,4,2,54530591,RUA MANOEL DOMINGOS BARROS,38,SAO FRANCISCO,(81)35249185,"-8,2977000249","-35,0362934052",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
11,132,2602900000132,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF ROSARIO,,,M,,,,,4,2,54505560,RUA 01,12,ROSARIO,(81)35249235,"-8,3120792256","-35,0172468567",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
12,140,2602900000140,26,260290,11294402000162.0,PEFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF JUSSARAL,,,M,,,,,4,2,54505560,ESTRADA DA VITORIA,S/N,JUSSARAL,(81)33023022,"-8,2173613354","-35,2296342409",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
13,159,2602900000159,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,UAP TAPUGI,,,M,,,,,4,1,54505000,ENGENHO TAPUGI DE BAIXO,S/N,TAPUGI DE BAIXO,(81)35216708,"-8,29181","-35,035",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","0,0","0,0",,SIM
14,167,2602900000167,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF MERCES,,,M,,,,,4,2,54505560,RUA DO FERREIRO,S/N,MERCES,(81)35162900,"-8,3169930558","-35,0874314479",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","0,0","0,0",,SIM
15,175,2602900000175,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF SUAPE,,,M,,,,,4,2,54505970,RUA JOSE MIGUEL DE SANTANA,14,SUAPE,(81)35127000,"-8,3542305852","-34,9551067778",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
16,183,2602900000183,26,260290,,SOCIEDADE HOSPITALAR SAMARITANO LTDA,HOSPITAL SAMARITANO,,,M,,,,,4,5,54510460,RUA SEVERINO BEZERRA MARQUES,40,CENTRO,(81)35210109,"-8,283999","-35,0349039",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",9934399000152.0,,2062,"1,0","1,0","1,0","1,0","1,0","1,0",,NAO
17,205,4127700000205,41,412770,,K FORTES CLINICA MEDICA LTDA,K FORTES CLINICA MEDICA,,,M,,,,,4,22,85900180,RUA NOSSA SENHORA DO ROCIO,1817,CENTRO,11-96081-0923,"-24,7289505662","-53,741093874",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,34864583000110.0,,2062,"0,0","0,0","0,0","0,0","1,0","0,0",,NAO
18,213,3205300000213,32,320530,,FISIO FITNESS CENTRO INTEGRADO DE SAUDE LTDA,FISIO FITNESS CENTRO INTEGRADO DE SAUDE LTDA,,,M,,,,,4,39,29090210,JULIA LACOURT PENNA,787,JARDIM CAMBURI,27 -30259827,"-20,2588656032","-40,2686047554",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,10795306000216.0,fisio.fitness@hotmail.com,2062,"0,0","0,0","0,0","0,0","1,0","0,0",,NAO
19,221,2602900000221,26,260290,,CASA DE SAUDE E MATERNIDADE SAO SEBASTIAO LTDA,HOSPITAL SAO SEBASTIAO,,,M,,,,,4,5,54505560,AVN PRESIDENTE GETULIO VARGAS,864,CENTRO,(81)35214150,"-8,2826726257","-35,0339841843",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",9930330000150.0,ADM@HOSPITALSAOSEBASTIAO.COM.BR,2062,"1,0","1,0","1,0","1,0","1,0","1,0",,NAO
20,248,2602900000248,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF MANOEL VIGIA,,,M,,,,,4,2,54505560,RUA PREFEITO DIOMEDES FERREIRA DE MELO,S/N,PONTE DOS CARVALHOS,(81)35222708,"-8,2452321075","-34,9822393295",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
21,256,2602900000256,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF SANTA ROSA,,,M,,,,,4,2,54510390,RUA SANTA ROSA,36,PONTEZINHA,(81)33023012,"-8,224304","-34,9684098",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
22,264,2602900000264,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF BOM SUCESSO,,,M,,,,,4,2,54580380,RUA DA INDEPENDENCIA,S/N,PONTE DOS CARVALHOS,(81)35222712,"-8,2326462539","-34,9786825814",4.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
23,272,2602900000272,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF ALTO DO SOL,,,M,,,,,4,2,54505560,2 TRAV DA SAUDADE,32,PONTE DOS CARVALHOS,(81)35222719,"-8,2360813259","-34,9848134876",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","0,0","0,0",,SIM
24,280,2602900000280,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF CACARI,,,M,,,,,4,2,54505560,RUA ANTONIO DA SILVA,38,PONTE DOS CARVALHOS,(81)35222710,"-8,2365933821","-34,9774326402",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
25,299,2602900000299,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF TORRINHA,,,M,,,,,4,2,54505570,RUA JOSE LINO DE LIMA,68,ALTO CRUZEIRO,(81)35216726,"-8,2873905353","-35,03427607",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","0,0","0,0",,SIM
26,302,2602900000302,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF SANTO ESTEVAO,,,M,,,,,4,2,54505560,RUA DO CEMITERIO,68,PONTE DOS CARVALHOS,(81)35222744,"-8,2181117","-35,2294359",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
27,310,2602900000310,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF ALTO DA IGREJA,,,M,,,,,4,2,54505560,RUA SALOMAO LUIZ SOARES,16,PONTE DOS CARVALHOS,(81)35222722,"-8,2399671363","-34,9811452859",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","0,0","0,0",,SIM
28,329,2602900000329,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,CAPS ESTACAO CIDADANIA,,,M,,,,,4,70,54510450,RUA AMARO PEREIRA CAVALCANTE,188,CENTRO,(81)35216672,"-8,287","-35,035",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
29,337,2602900000337,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF ARARIBA,,,M,,,,,4,2,54505560,ENGENHO ARARIBA DE BAIXO,S/N,ARARIBA,(81)35244045,"-8,2729350224","-35,1842095165",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
30,345,2602900000345,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF ALTO DO PIRES,,,M,,,,,4,2,54510390,1 TRAV DO CRUZEIRO,S/N,PONTE DOS CARVALHOS,(81)35222723,"-8,2330347453","-34,9837008036",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
31,353,2602900000353,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF MALAQUIAS,,,M,,,,,4,2,54515610,RUA 09,25,MALAQUIAS,(81)35249261,"-8,289703","-35,0303605",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","0,0","0,0",,SIM
32,361,2602900000361,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF SAO FRANCISCO II,,,M,,,,,4,2,54520460,RUA 03,11,SAO FRANCISCO,(81)35249248,"-8,2940006","-35,0475827",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
33,388,2602900000388,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF SAO FRANCISCO III,,,M,,,,,4,2,54525180,RUA 28,62,SAO FRANCISCO,(81)35216728,"-8,3019948062","-35,0358240089",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
34,396,2611600000396,26,261160,24134488000108.0,EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES HC UFPE,HOSPITAL DAS CLINICAS,,,E,,,,,5,5,50740900,AV PROFESSOR MORAES REGO,1235,CIDADE UNIVERSITARIA,(81)21263633,"-8,0475018039","-34,9461364746",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",15126437001620.0,,2011,"1,0","1,0","0,0","1,0","1,0","1,0",,SIM
35,418,2611600000418,26,261160,10572048000128.0,SECRETARIA DE SAUDE,HOSPITAL AGAMENON MAGALHAES,,,E,,,,,5,5,52051380,ESTRADA DO ARRAIAL,2723,CASA AMARELA,(81)31841601,"-8,030155","-34,9070110917",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",10572048000390.0,claudia.miranda@saude.pe.gov.br,1023,"1,0","1,0","1,0","1,0","1,0","1,0",,SIM
36,426,2611600000426,26,261160,10572048000128.0,SECRETARIA DE SAUDE,HOSPITAL OTAVIO DE FREITAS,,,E,,,,,3,5,50920592,RUA APRIGIO GUIMARAES,S/N,TEJIPIO,(81)31828500,"-8,0874005086","-34,962208271",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",10572048000470.0,DIRETORIAHOF@GMAIL.COM,1023,"1,0","0,0","0,0","1,0","1,0","1,0",,SIM
37,434,2611600000434,26,261160,,INSTITUTO DE MEDICINA INTEGRAL PROF FERNANDO FIGUEIRA,IMIP,,,E,,,,,5,5,50070555,RUA DOS COELHOS,300,BOA VISTA,(81)21224100,"-8,0668036658","-34,8907971382",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",10988301000129.0,imip@imip.org.br,3999,"1,0","1,0","1,0","1,0","1,0","1,0",,SIM
38,469,2931350000469,29,293135,,AMORSAUDE ESPECIALIDADES MEDICAS E ODONTOLOGICAS LTDA,AMORSAUDE,,,M,,,,,4,36,45992000,PRESIDENTE GETULIO VARGAS,3777,SAO LOURENCO,27 33713209,"-17,5378029617","-39,7419476509",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,35369371000120.0,simone@giuriatocontabilidade.com.br,2062,"0,0","0,0","0,0","0,0","0,0","0,0",,NAO
39,477,2611600000477,26,261160,,HOSPITAL UNIVERSITARIO OSWALDO CRUZ,HOSPITAL OSWALDO CRUZ,,,E,,,,,5,5,50100130,RUA ARNOBIO MARQUES,310,SANTO AMARO,(81)31841200,"-8,0475894451","-34,8876616359",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",11022597001325.0,huoc@terra.com.br,1147,"1,0","0,0","0,0","1,0","1,0","1,0",,SIM
40,485,2611600000485,26,261160,,FUNDACAO ALTINO VENTURA,FUNDACAO ALTINO VENTURA,,,D,,,,,3,7,50731490,AV MAURICIO DE NASSAU,2075,IPUTINGA,81 33024300,"-8,05888","-34,8897081614",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",10667814000138.0,,3069,"1,0","0,0","0,0","1,0","1,0","1,0",,SIM
41,507,2611600000507,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 160 POLICLINICA GOUVEIA DE BARROS,,,M,,,,,4,4,50770100,PRACA DA PAZ,S/N,AFOGADOS,3355-1522/1527/1541,"-8,0807531","-34,9063223",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,p.gouveia.barros@bol.com.br,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
42,523,3205300000523,32,320530,,SINGULARI CLINICA DE SAUDE MULTIDISCIPLINAR LTDA,SINGULARI CLINICA DE SAUDE MULTIDISCIPLINAR LTDA,,,M,,,,,4,36,29060120,RUA CARLOS EDUARDO MONTEIRO DE LEMOS,262,JARDIM DA PENHA,27 - 988722211,"-20,2892542758","-40,2932757139",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,30703678000100.0,barbararesende54@gmail.com,2062,"0,0","0,0","0,0","0,0","1,0","0,0",,NAO
43,531,2611600000531,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 159 POLICLINICA AGAMENON MAGALHAES,,,M,,,,,4,4,50770100,PRACA DA PAZ,S/N,AFOGADOS,3355-2339/2340/2300,"-8,0807531","-34,9063223",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,grupogestorpamsecretaria@gmail.com,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
44,558,2611600000558,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 217 CENTRO MEDICO SEN JOSE ERMIRIO DE MORAES,,,M,,,,,4,36,52061105,AV 17 DE AGOSTO,2388,MONTEIRO,33552603,"-8,0287438","-34,925607533",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,cmemdp@yahoo.com.br,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
45,566,2611600000566,26,261160,,FUNDACAO MANOEL DA SILVA ALMEIDA,HOSPITAL MARIA LUCINDA,,,D,,,,,4,5,52060000,AV PARNAMIRIM,095,PARNAMIRIM,(81)32674200/4201,"-8,053833171","-34,8812699318",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",9767633000102.0,secretaria@hospitalmarialucinda.org,3069,"1,0","0,0","0,0","1,0","1,0","1,0",,SIM
46,582,2611600000582,26,261160,,SOCIEDADE PERNAMBUCANA DO COMBATE AO CANCER,HOSPITAL DE CANCER DE PERNAMBUCO,,,E,,,,,3,7,50040000,AVENIDA CRUZ CABUGA,1597,SANTO AMARO,(81)32178000,"-8,041297818","-34,8733735085",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",10894988000133.0,hcp@hosp.org.br,3999,"1,0","0,0","0,0","1,0","1,0","1,0",,SIM
47,590,2611600000590,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 128 POLICLINICA LESSA DE ANDRADE,,,M,,,,,3,4,50720715,ESTRADA DOS REMEDIOS,2416,MADALENA,33557810/7812/7822,"-8,0588024","-34,9068717259",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,gerenciapla@gmail.com,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
48,604,2611600000604,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 169 POLICLINICA AMAURY COUTINHO,,,M,,,,,4,4,52121030,RUA IGUATU,S/N,CAMPINA DO BARRETO,3355-7878/7879/7889,"-8,0163644","-34,8825373",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,amaurycoutinhodir@gmail.com,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
49,612,2611600000612,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 162 POLICLINICA ALBERT SABIN,,,M,,,,,3,4,52051020,RUA CONEGO BARATA,S/N,TAMARINEIRA,(81) 33552763/2769,"-8,0295267","-34,9004764",4.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",,gerencia.pas2019@gmail.com,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
50,620,2611600000620,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 101 POLICLINICA PROF WALDEMAR DE OLIVEIRA,,,M,,,,,4,4,50100170,RUA MARQUES DO POMBAL,115,SANTO AMARO,33551402/1418/1438,"-8,056","-34,89",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,priscila_tsouza@hotmail.com,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
51,639,2611600000639,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 106 CS PROF JOAQUIM CAVALCANTE,,,M,,,,,4,2,50721110,ESTRADA DO FORTE DO ARRAIAL NOVO DO BOM JESUS,1350,TORROES,(81) 33554425,"-8,0529601","-34,9286302",4.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",,distsanitario4@recife.pe.gov.b,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
52,647,2611600000647,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 144 POLICLINICA CLEMENTINO FRAGA,,,M,,,,,4,4,52280510,RUA JAPARATUBA,260,VASCO DA GAMA,(81) 33556048-6049,"-8,01941185","-34,919800228",4.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",,CLEMENTINOCFRAGA@GMAIL.COM,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
53,655,2611600000655,26,261160,10572048000128.0,SECRETARIA DE SAUDE,HOSPITAL DA RESTAURACAO,,,E,,,,,3,5,52010040,AV AGAMENON MAGALHAES,S/N,DERBY,(81)31815444,"-8,0535038573","-34,8977762461",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",10572048000209.0,hrdiger@gmail.com,1023,"1,0","0,0","0,0","1,0","1,0","1,0",,SIM
54,663,2611600000663,26,261160,24134488000108.0,UNIVERSIDADE FEDERAL DE PERNAMBUCO,CEO UFPE,,,M,,,,,1,36,50740345,TRAV PROFESSOR ARTHUR DE SA,S/N,CIDADE UNIVERSITARIA,(81)32718341,"-8,0627625698","-34,885548",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1104,"1,0","0,0","0,0","1,0","1,0","0,0",,SIM
55,671,2611600000671,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 153 POLICLINICA E MATERNIDADE ARNALDO MARQUES,,,M,,,,,4,5,51230000,AV DOIS RIOS,S/N,IBURA,33551815/1815/1820,"-8,109099","-34,9354",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,pemarnaldomarques@yahoo.com.br,1244,"1,0","1,0","1,0","1,0","1,0","1,0",,SIM
56,701,2611600000701,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 165 MATERNIDADE BANDEIRA FILHO,,,M,,,,,4,7,50770400,RUA LONDRINA,S/N,AFOGADOS,8133552230/2205,"-8,07912","-34,9105",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,mpb.filho@outlouk.com,1244,"1,0","1,0","1,0","1,0","1,0","1,0",,SIM
