CO_CNES,CO_UNIDADE,CO_UF,CO_IBGE,NU_CNPJ_MANTENEDORA,NO_RAZAO_SOCIAL,NO_FANTASIA,CO_NATUREZA_ORGANIZACAO,DS_NATUREZA_ORGANIZACAO,TP_GESTAO,CO_NIVEL_HIERARQUIA,DS_NIVEL_HIERARQUIA,CO_ESFERA_ADMINISTRATIVA,DS_ESFERA_ADMINISTRATIVA,CO_ATIVIDADE,TP_UNIDADE,CO_CEP,NO_LOGRADOURO,NU_ENDERECO,NO_BAIRRO,NU_TELEFONE,NU_LATITUDE,NU_LONGITUDE,CO_TURNO_ATENDIMENTO,DS_TURNO_ATENDIMENTO,NU_CNPJ,NO_EMAIL,CO_NATUREZA_JUR,ST_CENTRO_CIRURGICO,ST_CENTRO_OBSTETRICO,ST_CENTRO_NEONATAL,ST_ATEND_HOSPITALAR,ST_SERVICO_APOIO,ST_ATEND_AMBULATORIAL,CO_MOTIVO_DESAB,CO_AMBULATORIAL_SUS,LOGRADOURO_ATUALIZADO,COMPLEMENTO,UNIDADE,BAIRRO_ATUALIZADO,CIDADE,UF,ESTADO,REGIAO,DDD
124,2602900000124,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF SAO FRANCISCO I,,,M,,,,,4,2,54530591,RUA MANOEL DOMINGOS BARROS,38,SAO FRANCISCO,(81)35249185,"-8,2977000249","-35,0362934052",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,TRAVESSA JOSÉ FRANCISCO DE OLIVEIRA,,,SÃO FRANCISCO,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
132,2602900000132,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF ROSARIO,,,M,,,,,4,2,54505560,RUA 01,12,ROSARIO,(81)35249235,"-8,3120792256","-35,0172468567",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,AVENIDA PRESIDENTE GETÚLIO VARGAS,DE 380/381 AO FIM,,CENTRO,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
140,2602900000140,26,260290,11294402000162.0,PEFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF JUSSARAL,,,M,,,,,4,2,54505560,ESTRADA DA VITORIA,S/N,JUSSARAL,(81)33023022,"-8,2173613354","-35,2296342409",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,AVENIDA PRESIDENTE GETÚLIO VARGAS,DE 380/381 AO FIM,,CENTRO,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
159,2602900000159,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,UAP TAPUGI,,,M,,,,,4,1,54505000,ENGENHO TAPUGI DE BAIXO,S/N,TAPUGI DE BAIXO,(81)35216708,"-8,29181","-35,035",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","0,0","0,0",,SIM,RODOVIA BR-101 SUL,"DO KM 100,010 AO KM 103,000",,CENTRO,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
167,2602900000167,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF MERCES,,,M,,,,,4,2,54505560,RUA DO FERREIRO,S/N,MERCES,(81)35162900,"-8,3169930558","-35,0874314479",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","0,0","0,0",,SIM,AVENIDA PRESIDENTE GETÚLIO VARGAS,DE 380/381 AO FIM,,CENTRO,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
175,2602900000175,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF SUAPE,,,M,,,,,4,2,54505970,RUA JOSE MIGUEL DE SANTANA,14,SUAPE,(81)35127000,"-8,3542305852","-34,9551067778",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,RUA VISCONDE DE PELOTAS,70,AC CABO DE SANTO AGOSTINHO,CENTRO,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
183,2602900000183,26,260290,,SOCIEDADE HOSPITALAR SAMARITANO LTDA,HOSPITAL SAMARITANO,,,M,,,,,4,5,54510460,RUA SEVERINO BEZERRA MARQUES,40,CENTRO,(81)35210109,"-8,283999","-35,0349039",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",9934399000152.0,,2062,"1,0","1,0","1,0","1,0","1,0","1,0",,NAO,RUA SEVERINO BEZERRA MARQUES,,,CENTRO,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
205,4127700000205,41,412770,,K FORTES CLINICA MEDICA LTDA,K FORTES CLINICA MEDICA,,,M,,,,,4,22,85900180,RUA NOSSA SENHORA DO ROCIO,1817,CENTRO,11-96081-0923,"-24,7289505662","-53,741093874",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,34864583000110.0,,2062,"0,0","0,0","0,0","0,0","1,0","0,0",,NAO,RUA NOSSA SENHORA DO ROCIO,ATÉ 1999/2000,,CENTRO,TOLEDO,PR,PARANÁ,SUL,45
213,3205300000213,32,320530,,FISIO FITNESS CENTRO INTEGRADO DE SAUDE LTDA,FISIO FITNESS CENTRO INTEGRADO DE SAUDE LTDA,,,M,,,,,4,39,29090210,JULIA LACOURT PENNA,787,JARDIM CAMBURI,27 -30259827,"-20,2588656032","-40,2686047554",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,10795306000216.0,fisio.fitness@hotmail.com,2062,"0,0","0,0","0,0","0,0","1,0","0,0",,NAO,RUA JÚLIA LACOURT PENNA,,,JARDIM CAMBURI,VITÓRIA,ES,ESPÍRITO SANTO,SUDESTE,27
221,2602900000221,26,260290,,CASA DE SAUDE E MATERNIDADE SAO SEBASTIAO LTDA,HOSPITAL SAO SEBASTIAO,,,M,,,,,4,5,54505560,AVN PRESIDENTE GETULIO VARGAS,864,CENTRO,(81)35214150,"-8,2826726257","-35,0339841843",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",9930330000150.0,ADM@HOSPITALSAOSEBASTIAO.COM.BR,2062,"1,0","1,0","1,0","1,0","1,0","1,0",,NAO,AVENIDA PRESIDENTE GETÚLIO VARGAS,DE 380/381 AO FIM,,CENTRO,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
248,2602900000248,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF MANOEL VIGIA,,,M,,,,,4,2,54505560,RUA PREFEITO DIOMEDES FERREIRA DE MELO,S/N,PONTE DOS CARVALHOS,(81)35222708,"-8,2452321075","-34,9822393295",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,AVENIDA PRESIDENTE GETÚLIO VARGAS,DE 380/381 AO FIM,,CENTRO,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
256,2602900000256,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF SANTA ROSA,,,M,,,,,4,2,54510390,RUA SANTA ROSA,36,PONTEZINHA,(81)33023012,"-8,224304","-34,9684098",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,RUA JOSÉ PLECH FERNANDES,,,CENTRO,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
264,2602900000264,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF BOM SUCESSO,,,M,,,,,4,2,54580380,RUA DA INDEPENDENCIA,S/N,PONTE DOS CARVALHOS,(81)35222712,"-8,2326462539","-34,9786825814",4.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,RUA OTAVIO ROSA LINS,(LOT.BOM CONSELHO),,PONTE DOS CARVALHOS,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
272,2602900000272,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF ALTO DO SOL,,,M,,,,,4,2,54505560,2 TRAV DA SAUDADE,32,PONTE DOS CARVALHOS,(81)35222719,"-8,2360813259","-34,9848134876",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","0,0","0,0",,SIM,AVENIDA PRESIDENTE GETÚLIO VARGAS,DE 380/381 AO FIM,,CENTRO,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
280,2602900000280,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF CACARI,,,M,,,,,4,2,54505560,RUA ANTONIO DA SILVA,38,PONTE DOS CARVALHOS,(81)35222710,"-8,2365933821","-34,9774326402",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,AVENIDA PRESIDENTE GETÚLIO VARGAS,DE 380/381 AO FIM,,CENTRO,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
299,2602900000299,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF TORRINHA,,,M,,,,,4,2,54505570,RUA JOSE LINO DE LIMA,68,ALTO CRUZEIRO,(81)35216726,"-8,2873905353","-35,03427607",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","0,0","0,0",,SIM,RUA TEIXEIRA DE SÁ,,,CENTRO,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
302,2602900000302,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF SANTO ESTEVAO,,,M,,,,,4,2,54505560,RUA DO CEMITERIO,68,PONTE DOS CARVALHOS,(81)35222744,"-8,2181117","-35,2294359",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,AVENIDA PRESIDENTE GETÚLIO VARGAS,DE 380/381 AO FIM,,CENTRO,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
310,2602900000310,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF ALTO DA IGREJA,,,M,,,,,4,2,54505560,RUA SALOMAO LUIZ SOARES,16,PONTE DOS CARVALHOS,(81)35222722,"-8,2399671363","-34,9811452859",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","0,0","0,0",,SIM,AVENIDA PRESIDENTE GETÚLIO VARGAS,DE 380/381 AO FIM,,CENTRO,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
329,2602900000329,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,CAPS ESTACAO CIDADANIA,,,M,,,,,4,70,54510450,RUA AMARO PEREIRA CAVALCANTE,188,CENTRO,(81)35216672,"-8,287","-35,035",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,RUA AMARO PEREIRA CAVALCANTE,,,CENTRO,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
337,2602900000337,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF ARARIBA,,,M,,,,,4,2,54505560,ENGENHO ARARIBA DE BAIXO,S/N,ARARIBA,(81)35244045,"-8,2729350224","-35,1842095165",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,AVENIDA PRESIDENTE GETÚLIO VARGAS,DE 380/381 AO FIM,,CENTRO,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
345,2602900000345,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF ALTO DO PIRES,,,M,,,,,4,2,54510390,1 TRAV DO CRUZEIRO,S/N,PONTE DOS CARVALHOS,(81)35222723,"-8,2330347453","-34,9837008036",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,RUA JOSÉ PLECH FERNANDES,,,CENTRO,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
353,2602900000353,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF MALAQUIAS,,,M,,,,,4,2,54515610,RUA 09,25,MALAQUIAS,(81)35249261,"-8,289703","-35,0303605",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","0,0","0,0",,SIM,RUA JOSÉ PAULO DA CUNHA,(LOT JD SANTO INÁCIO),,SANTO INÁCIO,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
361,2602900000361,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF SAO FRANCISCO II,,,M,,,,,4,2,54520460,RUA 03,11,SAO FRANCISCO,(81)35249248,"-8,2940006","-35,0475827",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,RUA SETENTA E UM,,,COHAB,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
388,2602900000388,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF SAO FRANCISCO III,,,M,,,,,4,2,54525180,RUA 28,62,SAO FRANCISCO,(81)35216728,"-8,3019948062","-35,0358240089",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,RUA MANOEL QUEIROZ DA SILVA,ATÉ 78/79,,TORRINHA,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
396,2611600000396,26,261160,24134488000108.0,EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES HC UFPE,HOSPITAL DAS CLINICAS,,,E,,,,,5,5,50740900,AV PROFESSOR MORAES REGO,1235,CIDADE UNIVERSITARIA,(81)21263633,"-8,0475018039","-34,9461364746",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",15126437001620.0,,2011,"1,0","1,0","0,0","1,0","1,0","1,0",,SIM,AVENIDA PROFESSOR MORAES REGO,S/N,HOSPITAL DAS CLÍNICAS,CIDADE UNIVERSITÁRIA,RECIFE,PE,PERNAMBUCO,NORDESTE,81
418,2611600000418,26,261160,10572048000128.0,SECRETARIA DE SAUDE,HOSPITAL AGAMENON MAGALHAES,,,E,,,,,5,5,52051380,ESTRADA DO ARRAIAL,2723,CASA AMARELA,(81)31841601,"-8,030155","-34,9070110917",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",10572048000390.0,claudia.miranda@saude.pe.gov.br,1023,"1,0","1,0","1,0","1,0","1,0","1,0",,SIM,ESTRADA DO ARRAIAL,ATÉ 3514/3515,,TAMARINEIRA,RECIFE,PE,PERNAMBUCO,NORDESTE,81
426,2611600000426,26,261160,10572048000128.0,SECRETARIA DE SAUDE,HOSPITAL OTAVIO DE FREITAS,,,E,,,,,3,5,50920592,RUA APRIGIO GUIMARAES,S/N,TEJIPIO,(81)31828500,"-8,0874005086","-34,962208271",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",10572048000470.0,DIRETORIAHOF@GMAIL.COM,1023,"1,0","0,0","0,0","1,0","1,0","1,0",,SIM,RUA APRÍGIO GUIMARÃES,LADO ÍMPAR,,TEJIPIÓ,RECIFE,PE,PERNAMBUCO,NORDESTE,81
434,2611600000434,26,261160,,INSTITUTO DE MEDICINA INTEGRAL PROF FERNANDO FIGUEIRA,IMIP,,,E,,,,,5,5,50070555,RUA DOS COELHOS,300,BOA VISTA,(81)21224100,"-8,0668036658","-34,8907971382",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",10988301000129.0,imip@imip.org.br,3999,"1,0","1,0","1,0","1,0","1,0","1,0",,SIM,RUA DOS COELHOS,DE 267/268 AO FIM,,COELHOS,RECIFE,PE,PERNAMBUCO,NORDESTE,81
469,2931350000469,29,293135,,AMORSAUDE ESPECIALIDADES MEDICAS E ODONTOLOGICAS LTDA,AMORSAUDE,,,M,,,,,4,36,45992000,PRESIDENTE GETULIO VARGAS,3777,SAO LOURENCO,27 33713209,"-17,5378029617","-39,7419476509",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,35369371000120.0,simone@giuriatocontabilidade.com.br,2062,"0,0","0,0","0,0","0,0","0,0","0,0",,NAO,AVENIDA PRESIDENTE GETÚLIO VARGAS,,,SÃO LOURENÇO,TEIXEIRA DE FREITAS,BA,BAHIA,NORDESTE,73
477,2611600000477,26,261160,,HOSPITAL UNIVERSITARIO OSWALDO CRUZ,HOSPITAL OSWALDO CRUZ,,,E,,,,,5,5,50100130,RUA ARNOBIO MARQUES,310,SANTO AMARO,(81)31841200,"-8,0475894451","-34,8876616359",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",11022597001325.0,huoc@terra.com.br,1147,"1,0","0,0","0,0","1,0","1,0","1,0",,SIM,RUA ARNÓBIO MARQUES,,,SANTO AMARO,RECIFE,PE,PERNAMBUCO,NORDESTE,81
485,2611600000485,26,261160,,FUNDACAO ALTINO VENTURA,FUNDACAO ALTINO VENTURA,,,D,,,,,3,7,50731490,AV MAURICIO DE NASSAU,2075,IPUTINGA,81 33024300,"-8,05888","-34,8897081614",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",10667814000138.0,,3069,"1,0","0,0","0,0","1,0","1,0","1,0",,SIM,AVENIDA MAURÍCIO DE NASSAU,DE 64/65 A 309/310,,IPUTINGA,RECIFE,PE,PERNAMBUCO,NORDESTE,81
507,2611600000507,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 160 POLICLINICA GOUVEIA DE BARROS,,,M,,,,,4,4,50770100,PRACA DA PAZ,S/N,AFOGADOS,3355-1522/1527/1541,"-8,0807531","-34,9063223",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,p.gouveia.barros@bol.com.br,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,PRAÇA DA PAZ,,,AFOGADOS,RECIFE,PE,PERNAMBUCO,NORDESTE,81
523,3205300000523,32,320530,,SINGULARI CLINICA DE SAUDE MULTIDISCIPLINAR LTDA,SINGULARI CLINICA DE SAUDE MULTIDISCIPLINAR LTDA,,,M,,,,,4,36,29060120,RUA CARLOS EDUARDO MONTEIRO DE LEMOS,262,JARDIM DA PENHA,27 - 988722211,"-20,2892542758","-40,2932757139",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,30703678000100.0,barbararesende54@gmail.com,2062,"0,0","0,0","0,0","0,0","1,0","0,0",,NAO,RUA CARLOS EDUARDO MONTEIRO DE LEMOS,,,JARDIM DA PENHA,VITÓRIA,ES,ESPÍRITO SANTO,SUDESTE,27
